# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0 Black
1,60,60,60,20 Gray
2,104,104,104,40 Gray
3,147,147,147,60 Gray
4,191,191,191,80 Gray
5,235,235,235,100 White
6,60,16,16,20 Red
7,104,16,16,40 Red
8,147,16,16,60 Red
9,191,16,16,80 Red
10,235,16,16,100 Red
11,16,60,16,20 Green
12,16,104,16,40 Green
13,16,147,16,60 Green
14,16,191,16,80 Green
15,16,235,16,100 Green
16,16,16,60,20 Blue
17,16,16,104,40 Blue
18,16,16,147,60 Blue
19,16,16,191,80 Blue
20,16,16,235,100 Blue
21,16,60,60,20 Cyan
22,16,104,104,40 Cyan
23,16,147,147,60 Cyan
24,16,191,191,80 Cyan
25,16,235,235,100 Cyan
26,60,16,60,20 Magenta
27,104,16,104,40 Magenta
28,147,16,147,60 Magenta
29,191,16,191,80 Magenta
30,235,16,235,100 Magenta
31,60,60,16,20 Yellow
32,104,104,16,40 Yellow
33,147,147,16,60 Yellow
34,191,191,16,80 Yellow
35,235,235,16,100 Yellow
