# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0
1,89,89,89,339
2,111,111,111,442
3,121,121,121,491
4,128,128,128,522
5,134,134,134,552
6,141,141,141,585
7,148,148,148,615
8,155,155,155,648
9,161,161,161,679
10,235,235,235,1023
