# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0 Black
1,38,38,38,10 Gray
2,60,60,60,20 Gray
3,82,82,82,30 Gray
4,104,104,104,40 Gray
5,126,126,126,50 Gray
6,147,147,147,60 Gray
7,169,169,169,70 Gray
8,191,191,191,80 Gray
9,213,213,213,90 Gray
10,235,235,235,100 White
11,38,16,16,10 Red
12,60,16,16,20 Red
13,82,16,16,30 Red
14,104,16,16,40 Red
15,126,16,16,50 Red
16,147,16,16,60 Red
17,169,16,16,70 Red
18,191,16,16,80 Red
19,213,16,16,90 Red
20,235,16,16,100 Red
21,16,38,16,10 Green
22,16,60,16,20 Green
23,16,82,16,30 Green
24,16,104,16,40 Green
25,16,126,16,50 Green
26,16,147,16,60 Green
27,16,169,16,70 Green
28,16,191,16,80 Green
29,16,213,16,90 Green
30,16,235,16,100 Green
31,16,16,38,10 Blue
32,16,16,60,20 Blue
33,16,16,82,30 Blue
34,16,16,104,40 Blue
35,16,16,126,50 Blue
36,16,16,147,60 Blue
37,16,16,169,70 Blue
38,16,16,191,80 Blue
39,16,16,213,90 Blue
40,16,16,235,100 Blue
41,16,38,38,10 Cyan
42,16,60,60,20 Cyan
43,16,82,82,30 Cyan
44,16,104,104,40 Cyan
45,16,126,126,50 Cyan
46,16,147,147,60 Cyan
47,16,169,169,70 Cyan
48,16,191,191,80 Cyan
49,16,213,213,90 Cyan
50,16,235,235,100 Cyan
51,38,16,38,10 Magenta
52,60,16,60,20 Magenta
53,82,16,82,30 Magenta
54,104,16,104,40 Magenta
55,126,16,126,50 Magenta
56,147,16,147,60 Magenta
57,169,16,169,70 Magenta
58,191,16,191,80 Magenta
59,213,16,213,90 Magenta
60,235,16,235,100 Magenta
61,38,38,16,10 Yellow
62,60,60,16,20 Yellow
63,82,82,16,30 Yellow
64,104,104,16,40 Yellow
65,126,126,16,50 Yellow
66,147,147,16,60 Yellow
67,169,169,16,70 Yellow
68,191,191,16,80 Yellow
69,213,213,16,90 Yellow
70,235,235,16,100 Yellow
