# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0 Black
1,235,235,235,100 White
2,235,198,198,10 Red
3,235,169,169,20 Red
4,235,147,147,30 Red
5,235,130,130,40 Red
6,235,115,115,50 Red
7,235,101,101,60 Red
8,235,86,86,70 Red
9,235,73,73,80 Red
10,235,55,55,90 Red
11,235,16,16,100 Red
12,211,235,211,10 Green
13,191,235,191,20 Green
14,171,235,171,30 Green
15,156,235,156,40 Green
16,139,235,139,50 Green
17,123,235,123,60 Green
18,106,235,106,70 Green
19,88,235,88,80 Green
20,69,235,69,90 Green
21,16,235,16,100 Green
22,211,211,235,10 Blue
23,191,191,235,20 Blue
24,174,174,235,30 Blue
25,156,156,235,40 Blue
26,139,139,235,50 Blue
27,123,123,235,60 Blue
28,108,108,235,70 Blue
29,88,88,235,80 Blue
30,69,69,235,90 Blue
31,16,16,235,100 Blue
32,222,235,235,10 Cyan
33,209,235,235,20 Cyan
34,196,235,235,30 Cyan
35,182,235,235,40 Cyan
36,167,235,235,50 Cyan
37,152,235,235,60 Cyan
38,132,235,235,70 Cyan
39,112,235,235,80 Cyan
40,86,235,235,90 Cyan
41,16,235,235,100 Cyan
42,235,220,235,10 Magenta
43,235,204,235,20 Magenta
44,235,187,235,30 Magenta
45,235,171,235,40 Magenta
46,235,156,235,50 Magenta
47,235,141,235,60 Magenta
48,235,123,235,70 Magenta
49,235,104,235,80 Magenta
50,235,80,235,90 Magenta
51,235,16,235,100 Magenta
52,235,235,220,10 Yellow
53,235,235,202,20 Yellow
54,235,235,187,30 Yellow
55,235,235,171,40 Yellow
56,235,235,156,50 Yellow
57,235,235,141,60 Yellow
58,235,235,123,70 Yellow
59,235,235,104,80 Yellow
60,235,235,77,90 Yellow
61,235,235,16,100 Yellow
