# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0 Black
1,235,235,235,100 White
2,180,123,123,25 Red
3,180,90,90,50 Red
4,180,64,64,75 Red
5,180,16,16,100 Red
6,141,180,141,25 Green
7,108,180,108,50 Green
8,77,180,77,75 Green
9,16,180,16,100 Green
10,141,141,180,25 Blue
11,108,108,180,50 Blue
12,77,77,180,75 Blue
13,16,16,180,100 Blue
14,156,180,180,25 Cyan
15,130,180,180,50 Cyan
16,97,180,180,75 Cyan
17,16,180,180,100 Cyan
18,180,150,180,25 Magenta
19,180,121,180,50 Magenta
20,180,88,180,75 Magenta
21,180,16,180,100 Magenta
22,180,180,150,25 Yellow
23,180,180,121,50 Yellow
24,180,180,88,75 Yellow
25,180,180,16,100 Yellow
