# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0 Black
1,235,235,235,100 White
2,235,169,169,20 Red
3,235,130,130,40 Red
4,235,101,101,60 Red
5,235,73,73,80 Red
6,235,16,16,100 Red
7,191,235,191,20 Green
8,156,235,156,40 Green
9,123,235,123,60 Green
10,88,235,88,80 Green
11,16,235,16,100 Green
12,191,191,235,20 Blue
13,156,156,235,40 Blue
14,123,123,235,60 Blue
15,88,88,235,80 Blue
16,16,16,235,100 Blue
17,209,235,235,20 Cyan
18,182,235,235,40 Cyan
19,152,235,235,60 Cyan
20,112,235,235,80 Cyan
21,16,235,235,100 Cyan
22,235,204,235,20 Magenta
23,235,171,235,40 Magenta
24,235,141,235,60 Magenta
25,235,104,235,80 Magenta
26,235,16,235,100 Magenta
27,235,235,202,20 Yellow
28,235,235,171,40 Yellow
29,235,235,141,60 Yellow
30,235,235,104,80 Yellow
31,235,235,16,100 Yellow
