# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0 Black
1,235,235,235,100 White
2,180,152,152,10 Red
3,180,132,132,20 Red
4,180,115,115,30 Red
5,180,101,101,40 Red
6,180,90,90,50 Red
7,180,80,80,60 Red
8,180,69,69,70 Red
9,180,58,58,80 Red
10,180,44,44,90 Red
11,180,16,16,100 Red
12,163,180,163,10 Green
13,147,180,147,20 Green
14,134,180,134,30 Green
15,121,180,121,40 Green
16,108,180,108,50 Green
17,97,180,97,60 Green
18,84,180,84,70 Green
19,71,180,71,80 Green
20,55,180,55,90 Green
21,16,180,16,100 Green
22,163,163,180,10 Blue
23,147,147,180,20 Blue
24,134,134,180,30 Blue
25,121,121,180,40 Blue
26,108,108,180,50 Blue
27,97,97,180,60 Blue
28,84,84,180,70 Blue
29,71,71,180,80 Blue
30,55,55,180,90 Blue
31,16,16,180,100 Blue
32,171,180,180,10 Cyan
33,161,180,180,20 Cyan
34,150,180,180,30 Cyan
35,141,180,180,40 Cyan
36,130,180,180,50 Cyan
37,117,180,180,60 Cyan
38,104,180,180,70 Cyan
39,88,180,180,80 Cyan
40,69,180,180,90 Cyan
41,16,180,180,100 Cyan
42,180,167,180,10 Magenta
43,180,156,180,20 Magenta
44,180,145,180,30 Magenta
45,180,132,180,40 Magenta
46,180,121,180,50 Magenta
47,180,110,180,60 Magenta
48,180,97,180,70 Magenta
49,180,82,180,80 Magenta
50,180,62,180,90 Magenta
51,180,16,180,100 Magenta
52,180,180,167,10 Yellow
53,180,180,156,20 Yellow
54,180,180,145,30 Yellow
55,180,180,132,40 Yellow
56,180,180,121,50 Yellow
57,180,180,108,60 Yellow
58,180,180,95,70 Yellow
59,180,180,82,80 Yellow
60,180,180,62,90 Yellow
61,180,180,16,100 Yellow
