# BITDEPTH 8, RANGE LEGAL
0,235,235,235,1
1,43,134,75,2
2,16,138,100,3
3,16,174,141,4
4,16,207,153,5
5,163,209,215,6
6,224,224,224,7
7,155,142,168,8
8,187,151,176,9
9,108,16,16,10
10,120,16,16,11
11,131,16,16,12
12,143,16,16,13
13,154,16,16,14
14,165,16,16,15
15,177,16,16,16
16,189,16,16,17
17,201,16,16,18
18,235,16,16,19
19,235,16,59,20
20,235,79,196,21
21,235,235,202,22
22,67,92,88,23
23,64,170,87,24
24,77,212,99,25
25,192,215,208,26
26,235,213,205,27
27,74,74,74,28
28,77,147,98,29
29,16,86,16,30
30,16,235,16,31
31,92,235,16,32
32,146,235,16,33
33,16,108,16,34
34,16,177,16,35
35,16,189,16,36
36,16,201,16,37
37,16,212,16,38
38,16,224,16,39
39,16,235,90,40
40,60,44,16,41
41,58,49,38,42
42,118,44,68,43
43,149,51,88,44
44,188,56,85,45
45,189,135,104,46
46,139,120,79,47
47,235,172,74,48
48,235,207,74,49
49,235,235,98,50
50,196,206,81,51
51,16,16,97,52
52,16,16,143,53
53,16,16,189,54
54,189,16,235,55
55,235,16,235,56
56,16,16,16,57
57,16,16,27,58
58,16,16,74,59
59,59,49,207,60
60,121,46,206,61
61,159,66,211,62
62,235,172,235,63
63,235,208,235,64
64,120,120,120,65
65,135,157,162,66
66,175,235,179,67
67,206,235,212,68
68,127,99,76,69
69,177,145,92,70
70,210,148,92,71
71,209,166,134,72
72,189,154,159,73
73,202,179,165,74
74,214,178,183,75
75,195,16,122,76
76,235,16,124,77
77,235,78,123,78
78,53,43,154,79
79,45,180,167,80
80,95,182,170,81
81,96,212,189,82
82,135,202,187,83
83,102,165,142,84
84,154,189,153,85
85,157,188,180,86
86,171,214,183,87
87,203,216,189,88
88,106,107,16,89
89,122,145,16,90
90,211,148,139,91
91,235,165,139,92
92,135,16,58,93
93,179,16,87,94
94,235,16,92,95
95,235,154,189,96
96,235,185,205,97
97,16,120,16,98
98,16,131,16,99
99,98,191,109,100
100,172,208,107,101
101,207,216,122,102
102,192,177,139,103
103,189,194,160,104
104,53,71,85,105
105,50,89,112,106
106,68,110,141,107
107,82,128,185,108
108,85,130,235,109
109,110,180,235,110
110,44,54,36,111
111,53,57,16,112
112,84,59,66,113
113,186,120,67,114
114,120,81,55,115
115,116,97,49,116
116,154,111,50,117
117,176,132,49,118
118,16,16,154,119
119,16,16,165,120
120,16,16,177,121
121,109,78,204,122
122,146,100,214,123
123,182,116,235,124
124,103,53,108,125
125,162,56,170,126
126,211,62,171,127
127,214,57,213,128
128,73,46,69,129
129,97,97,97,130
130,108,108,108,131
131,121,127,171,132
132,150,151,196,133
133,172,177,209,134
134,51,75,60,135
135,44,96,65,136
136,60,171,114,137
137,135,170,151,138
138,163,185,199,139
139,37,51,59,140
140,16,44,61,141
141,41,68,68,142
142,54,123,214,143
143,82,155,235,144
144,82,195,235,145
145,103,129,156,146
146,117,135,213,147
147,96,77,114,148
148,101,74,135,149
149,122,212,173,150
150,147,214,235,151
151,16,79,118,152
152,16,101,118,153
153,16,109,151,154
154,16,135,153,155
155,16,150,193,156
156,69,197,202,157
157,189,189,189,158
158,201,201,201,159
159,212,212,212,160
160,86,86,86,161
161,81,103,85,162
162,129,103,128,163
163,52,38,86,164
164,69,16,93,165
165,141,177,114,166
166,170,183,164,167
167,134,143,125,168
168,161,164,136,169
169,185,208,147,170
170,97,16,16,171
171,117,60,39,172
172,132,65,16,173
173,176,62,149,174
174,212,98,177,175
175,235,129,202,176
176,159,112,143,177
177,192,118,171,178
178,92,16,51,179
179,90,16,73,180
180,171,16,135,181
181,190,16,177,182
182,113,16,149,183
183,116,82,171,184
184,141,129,235,185
185,75,80,104,186
186,145,77,115,187
187,174,84,140,188
188,235,114,168,189
189,86,16,16,190
190,174,99,16,191
191,187,130,16,192
192,194,165,16,193
193,235,235,16,194
194,152,147,89,195
195,165,171,117,196
196,27,16,16,197
197,27,27,27,198
198,45,44,67,199
199,68,60,96,200
200,101,122,132,201
201,131,131,131,202
202,62,62,62,203
203,74,86,61,204
204,98,93,74,205
205,154,97,114,206
206,173,126,121,207
207,39,16,16,208
208,16,39,16,209
209,16,50,16,210
210,62,80,208,211
211,189,77,235,212
212,235,89,235,213
213,235,129,235,214
214,143,143,143,215
215,159,214,150,216
216,75,127,68,217
217,102,158,79,218
218,94,75,16,219
219,94,74,66,220
220,114,69,68,221
221,176,93,104,222
222,200,121,112,223
223,71,68,45,224
224,89,67,41,225
225,159,84,73,226
226,160,107,78,227
227,75,99,110,228
228,86,235,130,229
229,83,235,179,230
230,150,235,207,231
231,16,68,87,232
232,16,63,185,233
233,16,73,235,234
234,16,105,235,235
235,68,105,214,236
236,95,102,235,237
237,16,16,86,238
238,78,38,85,239
239,113,16,108,240
240,147,16,147,241
241,152,16,192,242
242,183,39,199,243
243,208,197,215,244
244,193,87,90,245
245,222,98,95,246
246,235,117,117,247
247,235,175,116,248
248,16,16,39,249
249,16,16,50,250
250,16,16,62,251
251,63,213,56,252
252,82,235,87,253
253,16,97,16,254
254,16,109,61,255
255,48,213,125,256
256,43,211,180,257
257,16,235,191,258
258,16,172,191,259
259,61,171,223,260
260,43,93,99,261
261,16,121,115,262
262,50,146,210,263
263,127,160,210,264
264,86,98,135,265
265,197,104,145,266
266,194,127,140,267
267,205,140,167,268
268,125,112,99,269
269,180,180,98,270
270,211,192,98,271
271,85,106,49,272
272,103,134,49,273
273,156,170,49,274
274,189,180,45,275
275,214,214,46,276
276,74,87,177,277
277,98,110,178,278
278,94,149,189,279
279,142,163,235,280
280,163,195,235,281
281,201,215,235,282
282,149,99,92,283
283,154,122,101,284
284,203,173,113,285
285,235,205,122,286
286,235,235,153,287
287,140,183,86,288
288,167,235,83,289
289,203,235,82,290
290,209,235,174,291
291,137,154,179,292
292,180,167,186,293
293,16,62,16,294
294,16,74,16,295
295,150,68,43,296
296,210,103,48,297
297,214,131,43,298
298,215,157,47,299
299,153,142,16,300
300,154,142,110,301
301,113,90,93,302
302,164,88,192,303
303,208,105,216,304
304,98,49,171,305
305,133,51,177,306
306,140,80,235,307
307,73,48,121,308
308,79,129,120,309
309,154,154,154,310
310,165,165,165,311
311,177,177,177,312
312,218,206,184,313
313,102,99,118,314
314,108,98,149,315
315,107,104,200,316
316,16,153,147,317
317,16,199,193,318
318,33,216,215,319
319,76,218,235,320
320,158,48,62,321
321,220,52,60,322
322,235,77,90,323
323,235,127,148,324
324,235,157,160,325
325,235,189,173,326
326,155,135,129,327
327,163,134,147,328
328,75,65,164,329
329,86,68,235,330
330,16,78,77,331
331,16,100,80,332
332,47,166,200,333
333,88,182,203,334
