# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0
1,80,80,80,0.29
2,96,96,96,0.36
3,111,111,111,0.43
4,119,119,119,0.47
5,126,126,126,0.5
6,129,129,129,0.52
7,133,133,133,0.53
8,136,136,136,0.55
9,139,139,139,0.56
10,143,143,143,0.58
11,146,146,146,0.59
12,150,150,150,0.61
13,153,153,153,0.63
14,157,157,157,0.64
15,160,160,160,0.66
16,164,164,164,0.67
17,167,167,167,0.69
18,170,170,170,0.7
19,176,176,176,0.73
20,235,235,235,1
