# BITDEPTH 8, RANGE LEGAL
0,16,16,16,0 Black
1,235,235,235,100 White
2,180,132,132,20 Red
3,180,101,101,40 Red
4,180,80,80,60 Red
5,180,58,58,80 Red
6,180,16,16,100 Red
7,147,180,147,20 Green
8,121,180,121,40 Green
9,97,180,97,60 Green
10,71,180,71,80 Green
11,16,180,16,100 Green
12,147,147,180,20 Blue
13,121,121,180,40 Blue
14,97,97,180,60 Blue
15,71,71,180,80 Blue
16,16,16,180,100 Blue
17,161,180,180,20 Cyan
18,141,180,180,40 Cyan
19,117,180,180,60 Cyan
20,88,180,180,80 Cyan
21,16,180,180,100 Cyan
22,180,156,180,20 Magenta
23,180,132,180,40 Magenta
24,180,110,180,60 Magenta
25,180,82,180,80 Magenta
26,180,16,180,100 Magenta
27,180,180,156,20 Yellow
28,180,180,132,40 Yellow
29,180,180,108,60 Yellow
30,180,180,82,80 Yellow
31,180,180,16,100 Yellow
